2025-03-06 12:56:21 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-03-06 12:56:21 [main] INFO  c.c.f.household.HouseholdApplication - Starting HouseholdApplication using Java 21.0.6 on senanism with PID 16252 (C:\Users\senan.ism\Desktop\household-web-summer-24-25-iteration1\household-web-summer-24-25-iteration1\target\classes started by senan.ism in C:\Users\senan.ism\Desktop\household-web-summer-24-25-iteration1\household-web-summer-24-25-iteration1)
2025-03-06 12:56:21 [main] INFO  c.c.f.household.HouseholdApplication - The following 1 profile is active: "local"
2025-03-06 12:56:22 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-06 12:56:23 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 306 ms. Found 11 JPA repository interfaces.
2025-03-06 12:56:24 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-03-06 12:56:24 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-06 12:56:24 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-06 12:56:24 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2025-03-06 12:56:25 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-06 12:56:25 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3866 ms
2025-03-06 12:56:25 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-06 12:56:25 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.11.Final
2025-03-06 12:56:25 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-03-06 12:56:25 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-06 12:56:26 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-06 12:56:26 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQL95Dialect
2025-03-06 12:56:28 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-03-06 12:56:28 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-06 12:56:29 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7fba492e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6eeeb9da, org.springframework.security.web.context.SecurityContextPersistenceFilter@4c6fe482, org.springframework.security.web.header.HeaderWriterFilter@2cf669f2, org.springframework.security.web.csrf.CsrfFilter@65b69ccb, org.springframework.security.web.authentication.logout.LogoutFilter@2fbd47b7, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@5b4b6f3b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2fd05b15, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@564fc235, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@17635531, org.springframework.security.web.session.SessionManagementFilter@3fe11091, org.springframework.security.web.access.ExceptionTranslationFilter@3bc33ad9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@46c19350]
2025-03-06 12:56:29 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-06 12:56:30 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-06 12:56:30 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2025-03-06 12:56:30 [main] INFO  c.c.f.household.HouseholdApplication - Started HouseholdApplication in 10.321 seconds (JVM running for 11.038)
2025-03-06 12:56:51 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-06 12:56:51 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-06 12:56:51 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2025-03-06 12:56:53 [http-nio-8080-exec-2] INFO  c.c.f.h.c.RegistrationController - User - senan.ism logged in successfully
2025-03-06 12:56:55 [http-nio-8080-exec-6] INFO  c.c.f.h.c.RegistrationController - User - senan.ism logged in successfully
2025-03-06 12:56:57 [http-nio-8080-exec-5] INFO  c.c.f.h.c.RegistrationController - User - senan.ism logged in successfully
